entity_type,entity_id,region_code,name,missing_fields,reason_code,reason,priority,status,next_action,source_checked_at
hospital_bed,A1300033,대구광역시|동구,의료법인백천의료재단바로본병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1300005,대구광역시|북구,대구가톨릭대학교칠곡가톨릭병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1300065,대구광역시|서구,새동산병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1303923,대구광역시|서구,더필병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1300063,대구광역시|중구,MS재건병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1600009,대전광역시|대덕구,근로복지공단대전병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1600014,대전광역시|동구,대전화병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1600001,대전광역시|중구,충남대학교병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1200081,부산광역시|금정구,의료법인 라움의료재단 세웅병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1200027,부산광역시|동구,재단법인일신기독교선교회 일신기독병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1200111,부산광역시|동구,세일병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1206845,부산광역시|동래구,빌리브세웅병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1200110,부산광역시|북구,재단법인 베스티안재단 베스티안부산병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1200101,부산광역시|사상구,의료법인센텀의료재단 서부산센텀병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1200089,부산광역시|사하구,큐병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1207152,부산광역시|연제구,비에스길종합병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1200048,부산광역시|해운대구,효성시티병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100010,서울특별시|강남구,삼성서울병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1100057,서울특별시|강남구,차의과학대학교강남차병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100141,서울특별시|강남구,강남베드로병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1123234,서울특별시|강남구,더드림병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100030,서울특별시|강북구,의료법인성화의료재단대한병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1100172,서울특별시|강북구,서울현대병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1121842,서울특별시|강북구,강북으뜸병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100042,서울특별시|강서구,우리들병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100046,서울특별시|강서구,미즈메디병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1117285,서울특별시|강서구,강서케이병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1120796,서울특별시|강서구,이화여자대학교의과대학부속서울병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1100047,서울특별시|관악구,강남고려병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1100076,서울특별시|관악구,강남힐병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100148,서울특별시|관악구,사랑의병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100014,서울특별시|구로구,고려대학교의과대학부속구로병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1126226,서울특별시|동작구,낭만병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100063,서울특별시|마포구,신촌연세병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100012,서울특별시|서초구,학교법인가톨릭학원가톨릭대학교서울성모병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1120432,서울특별시|서초구,올바로병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1122381,서울특별시|성동구,재단법인베스티안재단베스티안서울병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100009,서울특별시|송파구,재단법인아산사회복지재단서울아산병원,가용병상|포화율,BED_AVAILABLE_NEGATIVE,가용병상 음수 이상값,P1,open,NEMC 음수 가용병상 재조회 및 이상값 확인,2026-08-31T20:18:11+09:00
hospital_bed,A1125429,서울특별시|송파구,강철병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
hospital_bed,A1100038,서울특별시|영등포구,한림대학교한강성심병원,가용병상|전체병상|포화율,BED_SOURCE_STALE,병원 API기준시각이 수집시각보다 12시간 초과,P1,open,NEMC 원천 API기준시각 갱신 여부 확인 후 beds 재수집,2026-08-31T20:18:11+09:00
hospital_bed,A1100163,서울특별시|영등포구,한강수병원,가용병상|전체병상|포화율,BED_API_NO_RESPONSE,NEMC 병상 API 응답 없음,P1,open,NEMC 운영 쿼터·응답 상태 확인 후 beds 재수집,
