기관코드,병원명,등급,시도,시군구,가용병상,전체병상,포화율,상태,API기준시각,수집시각
A1206845,빌리브세웅병원,응급실운영신고기관,부산광역시,동래구,,,,결측,,
A1300001,영남대학교병원,권역응급의료센터,대구광역시,남구,21.0,28.0,25.0,여유,20260719141237,2026-07-19T14:22:34+09:00
A1300002,경북대학교병원,권역응급의료센터,대구광역시,중구,15.0,25.0,40.0,여유,20260719141207,2026-07-19T14:22:34+09:00
A1300003,계명대학교동산병원,지역응급의료센터,대구광역시,달서구,5.0,23.0,78.26086956521739,주의,20260719141424,2026-07-19T14:22:34+09:00
A1300004,대구가톨릭대학교병원,지역응급의료센터,대구광역시,남구,7.0,24.0,70.83333333333334,주의,20260719141227,2026-07-19T14:22:34+09:00
A1300005,대구가톨릭대학교칠곡가톨릭병원,지역응급의료기관,대구광역시,북구,-1.0,9.0,,결측,20260719141220,2026-07-19T14:22:34+09:00
A1300006,의료법인구의료재단구병원,지역응급의료기관,대구광역시,달서구,4.0,10.0,60.0,주의,20260719141511,2026-07-19T14:22:34+09:00
A1300007,대구의료원,지역응급의료기관,대구광역시,서구,16.0,18.0,11.11111111111111,여유,20260719141502,2026-07-19T14:22:34+09:00
A1300008,곽병원,지역응급의료기관,대구광역시,중구,4.0,10.0,60.0,주의,20260719141430,2026-07-19T14:22:34+09:00
A1300009,대구파티마병원,지역응급의료센터,대구광역시,동구,1.0,25.0,96.0,포화,20260719141500,2026-07-19T14:22:34+09:00
A1300010,칠곡경북대학교병원,지역응급의료센터,대구광역시,북구,4.0,23.0,82.6086956521739,포화,20260719141508,2026-07-19T14:22:34+09:00
A1300011,한국보훈복지의료공단대구보훈병원,지역응급의료기관,대구광역시,달서구,6.0,12.0,50.0,여유,20260719141041,2026-07-19T14:22:34+09:00
A1300018,강남종합병원,지역응급의료기관,대구광역시,동구,13.0,15.0,13.333333333333334,여유,20260719140749,2026-07-19T14:22:34+09:00
A1300033,의료법인백천의료재단바로본병원,응급실운영신고기관,대구광역시,동구,,,,결측,,
A1300034,드림종합병원,지역응급의료기관,대구광역시,남구,4.0,8.0,50.0,여유,20260719141457,2026-07-19T14:22:34+09:00
A1300038,나사렛종합병원,지역응급의료기관,대구광역시,달서구,1.0,9.0,88.88888888888889,포화,20260719141054,2026-07-19T14:22:34+09:00
A1300045,삼일병원,지역응급의료기관,대구광역시,달서구,6.0,14.0,57.14285714285714,주의,20260719141517,2026-07-19T14:22:34+09:00
A1300063,MS재건병원,응급실운영신고기관,대구광역시,중구,,,,결측,,
A1300065,새동산병원,응급실운영신고기관,대구광역시,서구,,,,결측,,
A1300076,대구굿모닝병원,지역응급의료기관,대구광역시,서구,15.0,17.0,11.76470588235294,여유,20260719141402,2026-07-19T14:22:34+09:00
A1300081,(재)미리내천주성삼성직수도회천주성삼병원,지역응급의료기관,대구광역시,수성구,8.0,9.0,11.11111111111111,여유,20260719141503,2026-07-19T14:22:34+09:00
A1300110,더블유병원,지역응급의료기관,대구광역시,달서구,0.0,10.0,100.0,포화,20260719141406,2026-07-19T14:22:34+09:00
A1303386,계명대학교대구동산병원,지역응급의료기관,대구광역시,중구,7.0,12.0,41.66666666666667,여유,20260719141425,2026-07-19T14:22:34+09:00
A1303449,행복한 병원,응급실운영신고기관,대구광역시,달성군,,,,결측,,
A1303923,더필병원,응급실운영신고기관,대구광역시,서구,,,,결측,,
A1304119,대구예스병원,응급실운영신고기관,대구광역시,남구,,,,결측,,
A1400001,의료법인 길의료재단 길병원,권역응급의료센터,인천광역시,남동구,-2.0,23.0,,결측,20260719141535,2026-07-19T14:22:34+09:00
A1400002,인하대학교의과대학부속병원,권역응급의료센터,인천광역시,제물포구,4.0,20.0,80.0,주의,20260719141053,2026-07-19T14:22:34+09:00
A1400003,의료법인 루가의료재단 나은병원,지역응급의료센터,인천광역시,서해구,11.0,11.0,0.0,여유,20260719141205,2026-07-19T14:22:34+09:00
