기관코드,병원명,주소,시도,시군구,HIRA병원명,암호화요양기호,매칭점수,매칭상태,응급의학과전문의수,HIRA주소
A2115807,성모윌병원,"경기도 성남시 수정구 성남대로 1171, 삼성화재빌딩 1층일부, 2~9층 (수진동)",경기도,성남시,성모윌병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNzEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100016,순천의료재단성남정병원,"경기도 성남시 수정구 수정로 76, 지하3~9층 (수진동)",경기도,성남시,,,0.0,미매칭,,
A2100030,차의과학대학교분당차병원,경기도 성남시 분당구 야탑로 59 (야탑동),경기도,성남시,차의과학대학교분당차병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,22.0,
A2100012,가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),경기도,수원시,,,0.0,미매칭,,
A2100032,경기도의료원수원병원,경기도 수원시 장안구 수성로245번길 69 (정자동),경기도,수원시,,,0.0,미매칭,,
A2119276,매듭병원,"경기도 수원시 영통구 태장로 68, 매듭병원 (망포동)",경기도,수원시,매듭병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQyNjEwMDIjNjEjJDEjJDQjJDgz,1.0,자동매칭,0.0,
A2100206,수원중앙병원,경기도 수원시 권선구 권선로 654 (권선동),경기도,수원시,수원중앙병원,JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,1.0,자동매칭,0.0,
A2100002,아주대학교병원,경기도 수원시 영통구 월드컵로 164 (원천동),경기도,수원시,아주대학교병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,1.0,자동매칭,16.0,
A2100009,의료법인녹산의료재단동수원병원,경기도 수원시 팔달구 중부대로 165 (우만동),경기도,수원시,의료법인 녹산의료재단동수원병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,1.0,자동매칭,9.0,
A2121061,의료법인덕산의료재단수원덕산병원,경기도 수원시 권선구 서부로 1674 (고색동),경기도,수원시,,,0.0,미매칭,,
A2117135,의료법인명인의료재단화홍병원,경기도 수원시 권선구 호매실로90번길 98 (호매실동),경기도,수원시,,,0.0,미매칭,,
A2100175,의료법인토마스의료재단윌스기념병원,경기도 수원시 팔달구 경수대로 437 (인계동),경기도,수원시,,,0.0,미매칭,,
A2100013,의료법인 록향의료재단 신천연합병원,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",경기도,시흥시,의료법인 록향의료재단 신천연합병원,JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjE4MzIjNjEjJDEjJDQjJDgz,1.0,자동매칭,3.0,
A2100008,의료법인남촌의료재단시화병원,"경기도 시흥시 군자천로 381, 시화병원 (정왕동)",경기도,시흥시,,,0.0,미매칭,,
A2100027,의료법인석경의료재단센트럴병원,"경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)",경기도,시흥시,,,0.0,미매칭,,
